Time,TotalEmployed,TotalEmployed_M,TotalEmployed_F,Employment_To_Population_Ratio,Employment_To_Population_Ratio_M,Employment_To_Population_Ratio_F,TotalUnemployed,TotalUnemployed_M,TotalUnemployed_F,Population 15 and over,Population 15 and over_M,Population 15 and over_F
Feb-78,5985.7,3887.4,2098.3,57.1,75.1,39.5,482.8,256.4,226.4,10489.3,5173.6,5315.7
Mar-78,6040.6,3900.6,2139.9,57.5,75.3,40.2,424.8,219.8,205,10508.6,5182.8,5325.8
Apr-78,6054.2,3899.1,2155.1,57.6,75.2,40.4,403.4,211.9,191.5,10518.7,5187.5,5331.2
May-78,6038.3,3888.6,2149.7,57.3,74.9,40.3,398.4,210.7,187.7,10530.7,5193.2,5337.5
Jun-78,6031.3,3883.6,2147.8,57.2,74.7,40.2,393.5,216.7,176.8,10543.4,5198.1,5345.3
Jul-78,6036.1,3869.9,2166.2,57.2,74.4,40.5,380.5,212.4,168.2,10555.4,5203.9,5351.5
Aug-78,6005.4,3850.9,2154.4,56.8,73.9,40.2,398.3,222.2,176.1,10570.5,5210.8,5359.7
Sep-78,6024.3,3860.4,2163.9,56.9,74,40.3,387.3,219.3,168,10586.9,5218.8,5368.1
Oct-78,6045.9,3874.2,2171.6,57,74.2,40.4,370.4,209.2,161.2,10598.3,5224.1,5374.2
Nov-78,6033.8,3863.5,2170.3,56.9,73.9,40.3,372.8,207.5,165.2,10612.9,5230.4,5382.5
Dec-78,6125.4,3936,2189.3,57.6,75.1,40.6,444.6,242.9,201.7,10629,5237.8,5391.2
Jan-79,5971.3,3884.1,2087.2,56.1,74.1,38.7,449.9,251.4,198.5,10643.8,5244.9,5398.9
Feb-79,6050.7,3907.8,2142.9,56.8,74.4,39.6,458.1,243.2,214.9,10660.7,5253.1,5407.6
Mar-79,6096.2,3919.2,2176.9,57.1,74.5,40.2,428.4,224.2,204.2,10679.9,5262.4,5417.5
Apr-79,6087.7,3920.4,2167.2,56.9,74.4,40,420.6,219.1,201.5,10692.1,5268.1,5424
May-79,6075.6,3922.3,2153.3,56.7,74.4,39.6,400.1,211.7,188.4,10706.5,5274.8,5431.6
Jun-79,6095.7,3928,2167.7,56.8,74.3,39.8,393,207.3,185.7,10724.4,5284.2,5440.1
Jul-79,6103.9,3927.8,2176.2,56.9,74.3,40,387.1,203.6,183.5,10736.4,5289.7,5446.7
Aug-79,6078.5,3921.1,2157.4,56.5,74,39.6,377.5,197.5,179.9,10750.7,5296.3,5454.4
