,Index Numbers ;  All groups CPI ;  Sydney ;,Index Numbers ;  All groups CPI ;  Melbourne ;,Index Numbers ;  All groups CPI ;  Brisbane ;,Index Numbers ;  All groups CPI ;  Adelaide ;,Index Numbers ;  All groups CPI ;  Perth ;,Index Numbers ;  All groups CPI ;  Hobart ;,Index Numbers ;  All groups CPI ;  Darwin ;,Index Numbers ;  All groups CPI ;  Canberra ;,Index Numbers ;  All groups CPI ;  Australia ;,Percentage Change from Corresponding Quarter of Previous Year ;  All groups CPI ;  Sydney ;,Percentage Change from Corresponding Quarter of Previous Year ;  All groups CPI ;  Melbourne ;,Percentage Change from Corresponding Quarter of Previous Year ;  All groups CPI ;  Brisbane ;,Percentage Change from Corresponding Quarter of Previous Year ;  All groups CPI ;  Adelaide ;,Percentage Change from Corresponding Quarter of Previous Year ;  All groups CPI ;  Perth ;,Percentage Change from Corresponding Quarter of Previous Year ;  All groups CPI ;  Hobart ;,Percentage Change from Corresponding Quarter of Previous Year ;  All groups CPI ;  Darwin ;,Percentage Change from Corresponding Quarter of Previous Year ;  All groups CPI ;  Canberra ;,Percentage Change from Corresponding Quarter of Previous Year ;  All groups CPI ;  Australia ;,Percentage Change from Previous Period ;  All groups CPI ;  Sydney ;,Percentage Change from Previous Period ;  All groups CPI ;  Melbourne ;,Percentage Change from Previous Period ;  All groups CPI ;  Brisbane ;,Percentage Change from Previous Period ;  All groups CPI ;  Adelaide ;,Percentage Change from Previous Period ;  All groups CPI ;  Perth ;,Percentage Change from Previous Period ;  All groups CPI ;  Hobart ;,Percentage Change from Previous Period ;  All groups CPI ;  Darwin ;,Percentage Change from Previous Period ;  All groups CPI ;  Canberra ;,Percentage Change from Previous Period ;  All groups CPI ;  Australia ;
Unit,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Data Type,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
Frequency,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter
Collection Month,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Series Start,Sep-1948,Sep-1948,Sep-1948,Sep-1948,Sep-1948,Sep-1948,Sep-1980,Sep-1948,Sep-1948,Sep-1949,Sep-1949,Sep-1949,Sep-1949,Sep-1949,Sep-1949,Sep-1981,Sep-1949,Sep-1949,Dec-1948,Dec-1948,Dec-1948,Dec-1948,Dec-1948,Dec-1948,Dec-1980,Dec-1948,Dec-1948
Series End,Mar-2021,Mar-2021,Mar-2021,Mar-2021,Mar-2021,Mar-2021,Mar-2021,Mar-2021,Mar-2021,Mar-2021,Mar-2021,Mar-2021,Mar-2021,Mar-2021,Mar-2021,Mar-2021,Mar-2021,Mar-2021,Mar-2021,Mar-2021,Mar-2021,Mar-2021,Mar-2021,Mar-2021,Mar-2021,Mar-2021,Mar-2021
No. Obs,291,291,291,291,291,291,163,291,291,287,287,287,287,287,287,159,287,287,290,290,290,290,290,290,162,290,290
Series ID,A2325806K,A2325811C,A2325816R,A2325821J,A2325826V,A2325831L,A2325836X,A2325841T,A2325846C,A2325807L,A2325812F,A2325817T,A2325822K,A2325827W,A2325832R,A2325837A,A2325842V,A2325847F,A2325810A,A2325815L,A2325820F,A2325825T,A2325830K,A2325835W,A2325840R,A2325845A,A2325850V
Sep-1948,3.7,3.8,3.7,3.8,3.7,3.8,,3.9,3.7,,,,,,,,,,,,,,,,,,
Dec-1948,3.7,3.8,3.7,3.9,3.8,3.9,,4.1,3.8,,,,,,,,,,0.0,0.0,0.0,2.6,2.7,2.6,,5.1,2.7
Mar-1949,3.9,3.9,3.8,4.0,3.9,4.0,,4.1,3.9,,,,,,,,,,5.4,2.6,2.7,2.6,2.6,2.6,,0.0,2.6
Jun-1949,3.9,4.0,3.9,4.0,4.0,4.1,,4.2,4.0,,,,,,,,,,0.0,2.6,2.6,0.0,2.6,2.5,,2.4,2.6
Sep-1949,4.0,4.1,4.0,4.1,4.1,4.1,,4.3,4.1,8.1,7.9,8.1,7.9,10.8,7.9,,10.3,10.8,2.6,2.5,2.6,2.5,2.5,0.0,,2.4,2.5
Dec-1949,4.1,4.2,4.1,4.1,4.2,4.2,,4.3,4.1,10.8,10.5,10.8,5.1,10.5,7.7,,4.9,7.9,2.5,2.4,2.5,0.0,2.4,2.4,,0.0,0.0
Mar-1950,4.1,4.3,4.1,4.2,4.2,4.2,,4.4,4.2,5.1,10.3,7.9,5.0,7.7,5.0,,7.3,7.7,0.0,2.4,0.0,2.4,0.0,0.0,,2.3,2.4
Jun-1950,4.3,4.4,4.2,4.4,4.4,4.3,,4.6,4.3,10.3,10.0,7.7,10.0,10.0,4.9,,9.5,7.5,4.9,2.3,2.4,4.8,4.8,2.4,,4.5,2.4
