,Time,Net Savings,Total Use of Gross Income,GDP
3,Jun-60,74,3454,4324.0
7,Jun-61,53,3567,4341.0
11,Jun-62,59,3743,4570.0
15,Jun-63,71,3988,4974.0
19,Jun-64,55,4389,5466.0
23,Jun-65,-47,4727,5938.0
27,Jun-66,-22,5020,6269.0
31,Jun-67,70,5573,6998.0
35,Jun-68,27,6029,7534.0
39,Jun-69,108,6680,8559.0
43,Jun-70,214,7686,9546.0
47,Jun-71,574,8677,10528.0
51,Jun-72,586,9651,11413.0
55,Jun-73,831,11129,13310.0
59,Jun-74,1198,13946,15992.0
63,Jun-75,1185,16603,18724.0
67,Jun-76,505,19068,22185.0
71,Jun-77,592,21940,24923.0
75,Jun-78,890,24148,27305.0
79,Jun-79,1486,27177,31085.0
83,Jun-80,1478,30498,35083.0
87,Jun-81,1755,35207,40197.0
91,Jun-82,2161,41386,45634.0
95,Jun-83,1790,44185,48737.0
99,Jun-84,2945,49990,55508.0
103,Jun-85,2584,54355,61518.0
107,Jun-86,2318,60862,66869.0
111,Jun-87,1703,66976,74771.0
115,Jun-88,1816,72453,84836.0
119,Jun-89,2242,82765,96184.0
123,Jun-90,2456,91021,103411.0
127,Jun-91,2018,91054,103467.0
131,Jun-92,1124,91570,107123.0
135,Jun-93,1391,94626,112814.0
139,Jun-94,3300,101131,119876.0
143,Jun-95,313,107093,126090.0
147,Jun-96,853,113630,134580.0
151,Jun-97,1617,120328,141715.0
155,Jun-98,-1596,124565,150020.0
159,Jun-99,-1208,133049,157756.0
163,Jun-00,-5708,142293,170532.0
167,Jun-01,1041,149872,180136.0
171,Jun-02,-2906,161805,193604.0
175,Jun-03,-1506,167707,204525.0
179,Jun-04,495,186565,221178.0
183,Jun-05,258,199764,237636.0
187,Jun-06,-4984,209901,255759.0
191,Jun-07,-4302,236285,280080.0
195,Jun-08,-2338,258882,306258.0
199,Jun-09,11132,274175,313525.0
203,Jun-10,5909,284655,337341.0
207,Jun-11,8816,305615,365114.0
211,Jun-12,9941,323556,377876.0
215,Jun-13,8209,329757,389360.0
219,Jun-14,9833,345353,403217.0
223,Jun-15,8099,358180,409163.0
227,Jun-16,2787,366224,420248.0
231,Jun-17,-196,375693,449993.0
235,Jun-18,-2943,391879,471882.0
239,Jun-19,-5466,403575,
243,Jun-20,52864,423192,
