,Time,TotalEmployed,TotalEmployed_M,TotalEmployed_F,Employment_To_Population_Ratio,Employment_To_Population_Ratio_M,Employment_To_Population_Ratio_F,TotalUnemployed,TotalUnemployed_M,TotalUnemployed_F,Population 15 and over,Population 15 and over_M,Population 15 and over_F
4,Jun-78,6031.3,3883.6,2147.8,57.2,74.7,40.2,393.5,216.7,176.8,10543.4,5198.1,5345.3
5,Jul-78,6036.1,3869.9,2166.2,57.2,74.4,40.5,380.5,212.4,168.2,10555.4,5203.9,5351.5
16,Jun-79,6095.7,3928.0,2167.7,56.8,74.3,39.8,393.0,207.3,185.7,10724.4,5284.2,5440.1
17,Jul-79,6103.9,3927.8,2176.2,56.9,74.3,40.0,387.1,203.6,183.5,10736.4,5289.7,5446.7
28,Jun-80,6269.9,3984.3,2285.6,57.5,74.2,41.3,409.3,210.3,199.0,10909.7,5370.9,5538.8
29,Jul-80,6314.1,3995.4,2318.6,57.8,74.3,41.8,387.6,206.1,181.5,10924.1,5377.7,5546.4
40,Jun-81,6413.9,4074.4,2339.6,57.6,74.4,41.4,353.7,182.5,171.2,11128.0,5476.0,5651.9
41,Jul-81,6425.3,4078.1,2347.2,57.6,74.3,41.5,378.2,197.3,180.9,11146.7,5485.5,5661.2
52,Jun-82,6414.3,4064.9,2349.3,56.4,72.7,40.7,451.6,240.6,211.0,11362.9,5593.2,5769.7
53,Jul-82,6425.9,4063.9,2362.0,56.5,72.5,40.9,453.4,254.1,199.3,11380.5,5601.9,5778.6
64,Jun-83,6266.5,3924.4,2342.1,54.1,68.9,39.9,693.2,424.5,268.7,11572.6,5695.6,5877.1
65,Jul-83,6295.0,3933.1,2361.8,54.3,69.0,40.1,687.2,429.0,258.3,11589.4,5704.0,5885.4
76,Jun-84,6499.0,4045.3,2453.8,55.2,69.7,41.1,632.5,374.3,258.1,11774.6,5801.0,5973.6
77,Jul-84,6528.7,4068.9,2459.8,55.4,70.0,41.1,594.9,357.5,237.4,11791.7,5809.5,5982.2
88,Jun-85,6659.4,4098.3,2561.0,55.5,69.3,42.1,607.6,365.8,241.8,11993.1,5910.2,6082.9
89,Jul-85,6703.4,4116.9,2586.6,55.8,69.5,42.5,566.9,344.5,222.3,12012.3,5920.0,6092.3
100,Jun-86,7007.7,4257.9,2749.8,57.2,70.5,44.3,563.8,321.3,242.5,12249.7,6040.2,6209.5
101,Jul-86,6991.5,4228.1,2763.4,57.0,69.9,44.4,596.1,342.9,253.2,12270.8,6050.7,6220.1
112,Jun-87,7128.9,4291.2,2837.7,57.0,69.6,44.7,603.1,353.3,249.8,12511.0,6169.6,6341.4
113,Jul-87,7175.6,4320.0,2855.6,57.3,69.9,45.0,610.1,354.1,256.0,12531.2,6179.7,6351.5
124,Jun-88,7378.3,4418.4,2959.8,57.8,70.1,45.7,569.0,316.2,252.9,12774.3,6301.0,6473.4
125,Jul-88,7383.1,4423.8,2959.3,57.7,70.1,45.6,518.8,300.0,218.8,12794.6,6311.4,6483.2
136,Jun-89,7711.0,4558.7,3152.3,59.2,71.1,47.7,475.9,259.4,216.5,13017.4,6414.1,6603.4
137,Jul-89,7740.8,4581.0,3159.8,59.4,71.3,47.8,482.1,263.7,218.3,13036.1,6423.1,6613.0
148,Jun-90,7900.3,4622.5,3277.8,59.7,70.9,48.8,539.6,296.8,242.8,13239.2,6522.3,6716.9
149,Jul-90,7919.4,4628.8,3290.7,59.7,70.9,48.9,567.0,325.2,241.8,13254.7,6529.5,6725.2
160,Jun-91,7678.1,4449.4,3228.6,57.2,67.3,47.4,757.7,456.5,301.2,13429.3,6611.8,6817.5
161,Jul-91,7583.0,4398.2,3184.8,56.4,66.4,46.7,797.4,484.8,312.6,13445.4,6619.6,6825.8
172,Jun-92,7637.3,4402.9,3234.4,56.2,65.8,46.8,894.8,547.5,347.3,13598.5,6692.9,6905.6
173,Jul-92,7668.3,4421.1,3247.1,56.3,66.0,47.0,904.8,562.2,342.6,13610.8,6698.8,6912.0
184,Jun-93,7627.9,4393.8,3234.1,55.5,65.0,46.3,911.2,566.4,344.8,13740.7,6761.6,6979.1
185,Jul-93,7646.5,4413.5,3233.0,55.6,65.2,46.3,885.2,548.8,336.4,13754.0,6768.0,6986.0
196,Jun-94,7878.4,4523.4,3355.0,56.7,66.2,47.5,828.6,491.4,337.2,13893.0,6835.3,7057.7
197,Jul-94,7966.0,4571.3,3394.8,57.3,66.8,48.0,798.7,466.6,332.1,13908.1,6842.7,7065.4
208,Jun-95,8205.6,4657.4,3548.3,58.3,67.3,49.6,723.5,434.2,289.3,14070.5,6922.5,7148.0
209,Jul-95,8229.0,4675.1,3553.9,58.4,67.5,49.7,708.8,427.5,281.3,14087.0,6930.4,7156.6
220,Jun-96,8311.7,4724.4,3587.3,58.2,67.3,49.5,723.8,424.3,299.5,14271.2,7017.8,7253.4
221,Jul-96,8332.1,4739.2,3592.9,58.3,67.5,49.5,727.3,415.5,311.8,14287.8,7025.2,7262.6
232,Jun-97,8345.6,4731.9,3613.6,57.7,66.6,49.1,735.2,427.5,307.7,14455.4,7101.7,7353.8
233,Jul-97,8374.9,4739.7,3635.2,57.9,66.7,49.4,731.4,435.7,295.7,14469.5,7108.4,7361.1
