Year,TotalEmployed,TotalEmployed_M,TotalEmployed_F,Employment_To_Population_Ratio,Employment_To_Population_Ratio_M,Employment_To_Population_Ratio_F,TotalUnemployed,TotalUnemployed_M,TotalUnemployed_F,Population 15 and over,Population 15 and over_M,Population 15 and over_F
1995,8205.6,4657.4,3548.3,58.3,67.3,49.6,723.5,434.2,289.3,14070.5,6922.5,7148
1996,8311.7,4724.4,3587.3,58.2,67.3,49.5,723.8,424.3,299.5,14271.2,7017.8,7253.4
1997,8345.6,4731.9,3613.6,57.7,66.6,49.1,735.2,427.5,307.7,14455.4,7101.7,7353.8
1998,8516.8,4801.8,3715,58.2,66.8,49.9,702.8,419.9,282.9,14633.9,7186.3,7447.6
1999,8673.2,4897.8,3775.5,58.5,67.3,50,600.6,348.6,252,14826.6,7277.7,7548.9
2000,8922,4980.8,3941.2,59.3,67.5,51.5,564.3,327.3,237,15033.3,7377.1,7656.3
2001,9021.9,4996.6,4025.3,59.1,66.7,51.8,651.5,374.4,277.1,15262.4,7486.6,7775.9
2002,9180.8,5109.2,4071.6,59.3,67.2,51.7,619.7,348.2,271.5,15479.3,7598.1,7881.2
2003,9370.4,5155.4,4215,59.7,66.9,52.7,587.6,330.9,256.6,15699.4,7706.7,7992.7
2004,9543.3,5290.3,4253,60,67.7,52.5,537.3,294,243.3,15907.2,7812.6,8094.6
2005,9896.6,5449.9,4446.7,61.3,68.7,54.2,502.5,265.3,237.2,16141.5,7930.7,8210.8
2006,10120.8,5546.6,4574.2,61.7,68.8,54.9,498.2,265.6,232.6,16396.4,8061.1,8335.4
2007,10436.3,5742.6,4693.7,62.4,69.8,55.2,459,230,229,16727.9,8232,8495.9
2008,10745,5890.2,4854.8,62.9,69.9,56,462.7,236.4,226.2,17094.3,8421.6,8672.7
2009,10770.9,5842.7,4928.3,61.6,67.8,55.6,654.7,376,278.7,17474.7,8616.9,8857.8
2010,11009.3,6006.1,5003.1,61.9,68.5,55.5,580.3,312.5,267.8,17772.8,8762,9010.8
2011,11221.3,6098.1,5123.1,62.2,68.6,56,564.2,292.6,271.6,18045.9,8894.2,9151.7
2012,11356,6169.2,5186.8,61.8,68.1,55.7,599.3,306.8,292.5,18369.6,9053,9316.6
2013,11492.5,6224.2,5268.3,61.5,67.6,55.6,673.4,367.6,305.8,18691.9,9209.5,9482.4
2014,11553.2,6227.4,5325.9,60.9,66.7,55.3,721.8,389.7,332.2,18976,9338.3,9637.7
2015,11752.9,6316.7,5436.2,61,66.7,55.5,729.7,391.8,337.9,19256.1,9466.8,9789.3
2016,11991.3,6406.1,5585.2,61.3,66.7,56.1,703.5,356.7,346.9,19555.8,9603.9,9951.9
2017,12255,6523.4,5731.6,61.6,66.8,56.6,706.1,370.9,335.2,19900.3,9770.6,10129.7
2018,12608.4,6671,5937.3,62.3,67.2,57.7,687.9,375,312.9,20228.4,9931,10297.5
2019,12889.7,6833.6,6056.1,62.7,67.7,57.9,692,363,328.9,20561.4,10093.9,10467.5
2020,12391.6,6553.9,5837.7,59.4,64.1,54.9,966.4,513.4,452.9,20854.5,10230.6,10623.9
