Date,Price,Open,High,Low,Vol.,Change %
Jun-95,"1,981.00","1,981.00","1,981.00","1,981.00",-,-0.02%
Jul-95,"2,083.30","2,083.30","2,083.30","2,083.30",-,5.16%
Aug-95,"2,094.30","2,094.30","2,094.30","2,094.30",-,0.53%
Sep-95,"2,091.30","2,091.30","2,091.30","2,091.30",-,-0.14%
Oct-95,"2,029.70","2,029.70","2,029.70","2,029.70",-,-2.95%
Nov-95,"2,113.20","2,113.20","2,113.20","2,113.20",-,4.11%
Dec-95,"2,154.90","2,154.90","2,154.90","2,154.90",-,1.97%
Jan-96,"2,227.80","2,227.80","2,227.80","2,227.80",-,3.38%
Feb-96,"2,228.20","2,228.20","2,228.20","2,228.20",-,0.02%
Mar-96,"2,164.00","2,164.00","2,164.00","2,164.00",-,-2.88%
Apr-96,"2,248.70","2,248.70","2,248.70","2,248.70",-,3.91%
May-96,"2,198.00","2,198.00","2,198.00","2,198.00",-,-2.25%
Jun-96,"2,171.80","2,171.80","2,171.80","2,171.80",-,-1.19%
Jul-96,"2,114.10","2,114.10","2,114.10","2,114.10",-,-2.66%
Aug-96,"2,196.10","2,196.10","2,196.10","2,196.10",-,3.88%
Sep-96,"2,218.60","2,218.60","2,218.60","2,218.60",-,1.02%
Oct-96,"2,286.20","2,286.20","2,286.20","2,286.20",-,3.05%
Nov-96,"2,325.90","2,325.90","2,325.90","2,325.90",-,1.74%
Dec-96,"2,367.80","2,367.80","2,367.80","2,367.80",-,1.80%
Jan-97,"2,370.70","2,370.70","2,370.70","2,370.70",-,0.12%
Feb-97,"2,386.00","2,386.00","2,386.00","2,386.00",-,0.65%
Mar-97,"2,360.50","2,360.50","2,360.50","2,360.50",-,-1.07%
Apr-97,"2,424.10","2,424.10","2,424.10","2,424.10",-,2.69%
May-97,"2,544.90","2,544.90","2,544.90","2,544.90",-,4.98%
Jun-97,"2,664.70","2,664.70","2,664.70","2,664.70",-,4.71%
Jul-97,"2,673.70","2,673.70","2,673.70","2,673.70",-,0.34%
Aug-97,"2,526.80","2,526.80","2,526.80","2,526.80",-,-5.49%
Sep-97,"2,703.10","2,703.10","2,703.10","2,703.10",-,6.98%
Oct-97,"2,415.00","2,415.00","2,415.00","2,415.00",-,-10.66%
Nov-97,"2,424.10","2,424.10","2,424.10","2,424.10",-,0.38%
Dec-97,"2,567.40","2,567.40","2,567.40","2,567.40",-,5.91%
Jan-98,"2,600.80","2,600.80","2,600.80","2,600.80",-,1.30%
Feb-98,"2,626.90","2,626.90","2,626.90","2,626.90",-,1.00%
Mar-98,"2,686.00","2,686.00","2,686.00","2,686.00",-,2.25%
Apr-98,"2,709.00","2,709.00","2,709.00","2,709.00",-,0.86%
May-98,"2,655.30","2,655.30","2,655.30","2,655.30",-,-1.98%
Jun-98,"2,620.10","2,620.10","2,620.10","2,620.10",-,-1.33%
Jul-98,"2,661.30","2,661.30","2,661.30","2,661.30",-,1.57%
Aug-98,"2,430.10","2,430.10","2,430.10","2,430.10",-,-8.69%
Sep-98,"2,511.30","2,511.30","2,511.30","2,511.30",-,3.34%
Oct-98,"2,563.00","2,563.00","2,563.00","2,563.00",-,2.06%
Nov-98,"2,685.60","2,685.60","2,685.60","2,685.60",-,4.78%
Dec-98,"2,717.60","2,717.60","2,717.60","2,717.60",-,1.19%
Jan-99,"2,781.70","2,781.70","2,781.70","2,781.70",-,2.36%
Feb-99,"2,768.40","2,768.40","2,768.40","2,768.40",-,-0.48%
Mar-99,"2,867.00","2,867.00","2,867.00","2,867.00",-,3.56%
Apr-99,"3,027.80","3,027.80","3,027.80","3,027.80",-,5.61%
May-99,"2,831.90","2,831.90","2,831.90","2,831.90",-,-6.47%
Jun-99,"2,903.70","2,903.70","2,903.70","2,903.70",-,2.54%
Jul-99,"2,951.00","2,951.00","2,951.00","2,951.00",-,1.63%
Aug-99,"2,875.70","2,875.70","2,875.70","2,875.70",-,-2.55%
Sep-99,"2,817.00","2,817.00","2,817.00","2,817.00",-,-2.04%
Oct-99,"2,821.40","2,821.40","2,821.40","2,821.40",-,0.16%
Nov-99,"2,970.30","2,970.30","2,970.30","2,970.30",-,5.28%
Dec-99,"3,117.70","3,117.70","3,117.70","3,117.70",-,4.96%
Jan-00,"3,080.20","3,080.20","3,080.20","3,080.20",-,-1.20%
Feb-00,"3,124.60","3,124.60","3,124.60","3,124.60",-,1.44%
Mar-00,"3,133.30","3,133.30","3,133.30","3,133.30",-,0.28%
Apr-00,"3,115.80","3,133.30","3,201.40","2,902.10",-,-0.56%
May-00,"3,081.00","3,115.80","3,131.90","2,985.70",-,-1.12%
Jun-00,"3,311.20","3,081.00","3,313.80","3,067.10",-,7.47%
Jul-00,"3,251.10","3,311.20","3,337.40","3,227.30",-,-1.82%
Aug-00,"3,297.80","3,251.10","3,386.60","3,241.00",-,1.44%
Sep-00,"3,298.80","3,297.80","3,356.50","3,176.20",-,0.03%
Oct-00,"3,254.60","3,298.80","3,330.70","3,180.70",-,-1.34%
Nov-00,"3,274.60","3,254.60","3,381.00","3,254.60",-,0.61%
Dec-00,"3,206.20","3,274.60","3,348.80","3,171.70",-,-2.09%
Jan-01,"3,341.70","3,206.20","3,347.70","3,206.20",-,4.23%
Feb-01,"3,326.50","3,341.70","3,364.30","3,278.80",-,-0.45%
Mar-01,"3,147.20","3,326.50","3,370.20","3,138.40",-,-5.39%
Apr-01,"3,329.40","3,147.20","3,333.70","3,147.20",-,5.79%
May-01,"3,379.10","3,329.40","3,444.30","3,322.10",-,1.49%
Jun-01,"3,490.30","3,379.10","3,490.30","3,378.10",-,3.29%
Jul-01,"3,324.50","3,490.30","3,490.30","3,283.40",-,-4.75%
Aug-01,"3,275.60","3,324.50","3,424.80","3,275.60",-,-1.47%
Sep-01,"3,049.50","3,275.60","3,295.00","2,882.80",-,-6.90%
Oct-01,"3,249.60","3,049.50","3,285.90","3,049.50",-,6.56%
Nov-01,"3,337.40","3,249.60","3,370.50","3,222.40",-,2.70%
Dec-01,"3,422.30","3,337.50","3,440.60","3,288.40",-,2.54%
Jan-02,"3,464.20","3,422.30","3,468.90","3,377.30",-,1.22%
Feb-02,"3,414.30","3,464.20","3,506.10","3,402.50",-,-1.44%
Mar-02,"3,414.80","3,414.30","3,499.90","3,382.10",-,0.01%
Apr-02,"3,350.00","3,414.80","3,424.60","3,337.50",-,-1.90%
May-02,"3,373.60","3,350.00","3,420.00","3,295.90",-,0.70%
Jun-02,"3,216.00","3,373.60","3,388.20","3,174.00",-,-4.67%
Jul-02,"3,086.20","3,216.00","3,259.00","2,982.10",-,-4.04%
Aug-02,"3,120.10","3,086.20","3,202.90","2,955.70",-,1.10%
Sep-02,"2,970.90","3,122.30","3,156.70","2,953.20",-,-4.78%
Oct-02,"3,042.90","2,970.90","3,043.00","2,883.50",-,2.42%
Nov-02,"3,061.40","3,042.90","3,079.70","2,950.70",-,0.61%
Dec-02,"3,007.10","3,061.40","3,083.80","2,945.90",-,-1.77%
Jan-03,"2,956.90","3,007.10","3,094.10","2,929.10",-,-1.67%
Feb-03,"2,800.90","2,956.90","2,969.20","2,794.40",-,-5.28%
Mar-03,"2,885.20","2,800.90","2,911.90","2,693.30",-,3.01%
Apr-03,"3,007.50","2,885.20","3,023.70","2,865.90",-,4.24%
May-03,"3,011.00","3,007.50","3,026.10","2,917.90",-,0.12%
Jun-03,"3,026.90","3,011.00","3,124.60","3,011.00",-,0.53%
Jul-03,"3,122.30","3,026.90","3,131.80","3,003.80",6.10B,3.15%
Aug-03,"3,199.70","3,128.00","3,210.70","3,120.10",9.12B,2.48%
Sep-03,"3,169.50","3,203.80","3,247.40","3,157.50",10.11B,-0.94%
Oct-03,"3,272.00","3,168.00","3,311.80","3,153.00",9.01B,3.23%
Nov-03,"3,186.40","3,270.90","3,276.30","3,158.80",7.79B,-2.62%
Dec-03,"3,299.80","3,184.70","3,302.00","3,162.50",7.28B,3.56%
Jan-04,"3,272.00","3,298.90","3,346.20","3,258.30",8.11B,-0.84%
Feb-04,"3,360.60","3,273.20","3,360.90","3,252.90",8.33B,2.71%
Mar-04,"3,415.30","3,364.80","3,456.10","3,364.60",10.82B,1.63%
Apr-04,"3,400.80","3,418.70","3,469.20","3,378.60",8.83B,-0.42%
May-04,"3,460.20","3,399.00","3,467.60","3,341.00",9.52B,1.75%
Jun-04,"3,532.90","3,459.30","3,556.40","3,453.60",10.29B,2.10%
Jul-04,"3,536.10","3,533.00","3,568.70","3,478.20",9.87B,0.09%
Aug-04,"3,552.70","3,534.40","3,568.70","3,467.10",9.17B,0.47%
Sep-04,"3,665.00","3,554.00","3,673.10","3,554.00",9.98B,3.16%
Oct-04,"3,778.60","3,665.10","3,779.50","3,654.60",11.50B,3.10%
Nov-04,"3,931.30","3,781.00","3,943.60","3,777.90",10.56B,4.04%
Dec-04,"4,050.60","3,932.20","4,055.00","3,877.10",8.32B,3.03%
Jan-05,"4,107.30","4,048.30","4,121.00","4,026.10",7.23B,1.40%
Feb-05,"4,172.80","4,113.70","4,195.60","4,096.90",9.95B,1.59%
Mar-05,"4,109.80","4,173.20","4,266.90","4,059.50",9.92B,-1.51%
Apr-05,"3,983.20","4,118.90","4,165.50","3,957.30",9.11B,-3.08%
May-05,"4,106.40","3,991.00","4,142.50","3,926.60",10.31B,3.09%
Jun-05,"4,277.50","4,105.10","4,321.70","4,098.80",10.41B,4.17%
Jul-05,"4,388.80","4,272.70","4,398.80","4,213.60",8.84B,2.60%
Aug-05,"4,446.80","4,388.30","4,502.20","4,361.40",11.20B,1.32%
Sep-05,"4,641.20","4,454.30","4,679.10","4,440.90",11.15B,4.37%
Oct-05,"4,459.70","4,642.20","4,654.30","4,311.10",9.52B,-3.91%
Nov-05,"4,634.80","4,463.60","4,680.10","4,441.80",10.20B,3.93%
Dec-05,"4,763.40","4,625.70","4,775.80","4,549.30",8.01B,2.77%
Jan-06,"4,929.60","4,762.20","4,964.10","4,751.10",8.23B,3.49%
Feb-06,"4,921.30","4,937.40","4,982.60","4,790.80",10.40B,-0.17%
Mar-06,"5,129.70","4,913.50","5,139.50","4,844.80",12.38B,4.23%
Apr-06,"5,258.80","5,127.60","5,336.60","5,122.10",8.87B,2.52%
May-06,"5,001.70","5,273.80","5,406.70","4,976.80",12.26B,-4.89%
Jun-06,"5,073.90","5,018.20","5,120.00","4,758.30",11.80B,1.44%
Jul-06,"4,986.00","5,075.50","5,146.60","4,899.90",9.89B,-1.73%
Aug-06,"5,115.40","4,981.60","5,115.40","4,919.50",12.67B,2.60%
Sep-06,"5,154.10","5,113.50","5,164.20","4,961.30",12.29B,0.76%
Oct-06,"5,384.40","5,153.00","5,409.90","5,142.70",12.47B,4.47%
Nov-06,"5,482.10","5,390.70","5,496.30","5,322.40",13.71B,1.81%
Dec-06,"5,669.90","5,486.00","5,684.40","5,411.00",11.39B,3.43%
Jan-07,"5,773.40","5,672.70","5,829.30","5,499.00",11.94B,1.83%
Feb-07,"5,832.50","5,781.30","6,052.10","5,781.30",13.53B,1.02%
Mar-07,"5,995.00","5,840.60","5,998.90","5,641.10",14.46B,2.79%
Apr-07,"6,166.00","5,994.00","6,265.20","5,915.80",11.85B,2.85%
May-07,"6,313.50","6,163.20","6,384.10","6,134.20",15.63B,2.39%
Jun-07,"6,274.90","6,321.00","6,409.20","6,170.20",16.25B,-0.61%
Jul-07,"6,144.20","6,282.00","6,436.70","6,044.30",15.48B,-2.08%
Aug-07,"6,247.20","6,138.60","6,247.20","5,483.30",18.67B,1.68%
Sep-07,"6,567.80","6,253.70","6,594.40","6,146.50",13.71B,5.13%
Oct-07,"6,754.10","6,567.60","6,800.20","6,542.90",14.47B,2.84%
Nov-07,"6,533.10","6,778.40","6,851.50","6,312.60",14.34B,-3.27%
Dec-07,"6,339.80","6,535.20","6,684.40","6,105.60",13.26B,-2.96%
Jan-08,"5,650.30","6,336.60","6,385.70","5,186.80",17.29B,-10.88%
Feb-08,"5,572.10","5,672.60","6,022.00","5,490.40",15.64B,-1.38%
Mar-08,"5,355.70","5,534.30","5,535.20","5,039.60",18.11B,-3.88%
Apr-08,"5,595.40","5,363.40","5,672.70","5,301.00",15.47B,4.48%
May-08,"5,654.70","5,592.60","5,980.80","5,538.70",17.00B,1.06%
Jun-08,"5,215.30","5,671.90","5,681.50","5,144.70",19.31B,-7.77%
Jul-08,"4,977.40","5,230.10","5,231.90","4,787.50",18.44B,-4.56%
Aug-08,"5,135.60","4,971.70","5,146.30","4,758.50",16.40B,3.18%
Sep-08,"4,600.50","5,128.70","5,177.20","4,527.40",20.17B,-10.42%
Oct-08,"4,018.00","4,636.30","4,832.50","3,724.80",19.09B,-12.66%
Nov-08,"3,742.50","4,041.60","4,340.50","3,217.50",17.72B,-6.86%
Dec-08,"3,722.30","3,738.90","3,738.90","3,474.10",17.06B,-0.54%
Jan-09,"3,540.70","3,723.90","3,817.90","3,342.70",13.00B,-4.88%
Feb-09,"3,344.50","3,519.40","3,578.70","3,296.20",16.73B,-5.54%
Mar-09,"3,582.10","3,329.40","3,706.60","3,120.80",23.76B,7.10%
Apr-09,"3,780.50","3,583.60","3,851.20","3,550.90",19.45B,5.54%
May-09,"3,818.00","3,771.40","3,960.40","3,714.90",24.02B,0.99%
