Time,CashRate,InterbankOvernightCashRate,CashRate_ReturnTotalIndex
04-Jan-2011,4.75,4.75,100.013014
05-Jan-2011,4.75,4.75,100.026029
06-Jan-2011,4.75,4.75,100.039046
07-Jan-2011,4.75,4.75,100.078103
10-Jan-2011,4.75,4.75,100.091126
11-Jan-2011,4.75,4.75,100.104152
12-Jan-2011,4.75,4.75,100.117179
13-Jan-2011,4.75,4.75,100.130208
14-Jan-2011,4.75,4.75,100.169300
17-Jan-2011,4.75,4.75,100.182336
18-Jan-2011,4.75,4.75,100.195373
19-Jan-2011,4.75,4.75,100.208412
20-Jan-2011,4.75,4.75,100.221453
21-Jan-2011,4.75,4.75,100.260581
24-Jan-2011,4.75,4.75,100.273628
25-Jan-2011,4.75,4.75,100.299727
27-Jan-2011,4.75,4.75,100.312780
28-Jan-2011,4.75,4.75,100.351943
31-Jan-2011,4.75,4.75,100.365002
01-Feb-2011,4.75,4.75,100.378064
02-Feb-2011,4.75,4.75,100.391126
03-Feb-2011,4.75,4.75,100.404191
04-Feb-2011,4.75,4.75,100.443390
07-Feb-2011,4.75,4.75,100.456461
08-Feb-2011,4.75,4.75,100.469534
09-Feb-2011,4.75,4.75,100.482609
10-Feb-2011,4.75,4.75,100.495686
11-Feb-2011,4.75,4.75,100.534920
14-Feb-2011,4.75,4.75,100.548004
15-Feb-2011,4.75,4.75,100.561089
16-Feb-2011,4.75,4.75,100.574175
17-Feb-2011,4.75,4.75,100.587264
18-Feb-2011,4.75,4.75,100.626534
21-Feb-2011,4.75,4.75,100.639629
22-Feb-2011,4.75,4.75,100.652726
23-Feb-2011,4.75,4.75,100.665825
24-Feb-2011,4.75,4.75,100.678925
25-Feb-2011,4.75,4.75,100.718232
28-Feb-2011,4.75,4.75,100.731339
01-Mar-2011,4.75,4.75,100.744448
02-Mar-2011,4.75,4.75,100.757558
03-Mar-2011,4.75,4.75,100.770670
04-Mar-2011,4.75,4.75,100.810012
07-Mar-2011,4.75,4.75,100.823132
08-Mar-2011,4.75,4.75,100.836252
09-Mar-2011,4.75,4.75,100.849375
10-Mar-2011,4.75,4.75,100.862499
