Time,AUD_to_USD,AUD_to_EUR,AUD_to_GBP,AUD_to_JPY,AUD_to_CNY,AUD_to_KRW,AUD_to_CAD,AUD_to_INR
02-Jan-18,0.7837,0.6522,0.5799,88.33,5.0948,831.98,0.9824,49.92
03-Jan-18,0.7816,0.6485,0.5747,87.8,5.0842,832.76,0.9783,49.65
04-Jan-18,0.7835,0.6519,0.5795,88.27,5.0983,834.07,0.982,49.76
05-Jan-18,0.7857,0.6508,0.5791,88.69,5.0916,834.37,0.9809,49.77
08-Jan-18,0.7842,0.6521,0.5784,88.78,5.0893,836.45,0.9726,49.64
09-Jan-18,0.7854,0.6563,0.5787,88.45,5.1062,837.16,0.9749,49.85
10-Jan-18,0.7828,0.6558,0.5784,87.9,5.1053,837.56,0.9755,49.84
11-Jan-18,0.7873,0.659,0.5836,87.98,5.1313,843.51,0.988,50.19
12-Jan-18,0.7885,0.6541,0.5819,87.71,5.112,838.77,0.9878,50.08
15-Jan-18,0.7946,0.6508,0.5782,87.95,5.1036,843.63,0.9891,50.37
16-Jan-18,0.7968,0.6495,0.5778,88.35,5.1227,846.88,0.9899,50.72
17-Jan-18,0.7955,0.6493,0.5773,88.18,5.1175,848.8,0.9904,50.89
18-Jan-18,0.7964,0.6531,0.5761,88.69,5.1267,852.75,0.9915,50.86
19-Jan-18,0.8019,0.6539,0.5762,88.9,5.1286,854.14,0.9956,51.04
22-Jan-18,0.799,0.6536,0.5763,88.53,5.1206,854.09,0.9976,51.09
23-Jan-18,0.7989,0.6516,0.5712,88.49,5.1138,855.26,0.995,50.98
24-Jan-18,0.8016,0.6505,0.5713,88.09,5.1238,857.19,0.9947,51.02
25-Jan-18,0.8094,0.6509,0.5663,88.24,5.1246,857.84,0.9964,51.42
29-Jan-18,0.8096,0.6522,0.5726,88.04,5.1215,862.22,0.9985,51.43
30-Jan-18,0.807,0.6524,0.5747,87.77,5.1115,866.15,0.997,51.39
31-Jan-18,0.8073,0.65,0.5696,87.87,5.1058,863.93,0.9946,51.46
01-Feb-18,0.8044,0.6476,0.5668,87.91,5.0617,863.04,0.9899,51.2
02-Feb-18,0.7997,0.6401,0.5608,87.71,5.0244,864,0.9822,51.28
05-Feb-18,0.7929,0.6364,0.5617,87.22,4.9937,864.3,0.9844,50.85
06-Feb-18,0.7844,0.6348,0.5626,85.23,4.9374,858.96,0.9851,50.47
07-Feb-18,0.7883,0.6363,0.5644,86.15,4.9316,855.07,0.9862,50.57
08-Feb-18,0.7812,0.6372,0.5629,85.6,4.9455,850.28,0.9814,50.22
09-Feb-18,0.7779,0.6348,0.5584,84.74,4.9211,848.81,0.9797,50.07
12-Feb-18,0.7834,0.6376,0.565,85.13,4.9404,848.97,0.984,50.34
13-Feb-18,0.787,0.6396,0.5683,85.29,4.9786,851.83,0.9897,50.59
14-Feb-18,0.7877,0.6364,0.5669,84.36,4.9898,849.1,0.9903,50.52
15-Feb-18,0.7933,0.6369,0.5662,84.57,5.0307,854.54,0.9909,50.7
16-Feb-18,0.7965,0.6347,0.5633,84.18,5.051,857.99,0.9927,50.85
19-Feb-18,0.792,0.6379,0.5644,84.26,5.0225,846.21,0.9932,50.86
20-Feb-18,0.7926,0.6398,0.567,84.64,5.0263,847.65,0.9966,51.06
21-Feb-18,0.7852,0.6372,0.5616,84.64,4.9793,845.19,0.9944,50.96
22-Feb-18,0.7806,0.636,0.5613,83.87,4.9558,846.17,0.991,50.73
23-Feb-18,0.7821,0.6358,0.5607,83.66,4.9598,843.89,0.9951,50.76
26-Feb-18,0.7863,0.6386,0.5616,83.84,4.9672,844.26,0.9932,50.84
27-Feb-18,0.7847,0.6367,0.5622,83.92,4.9492,842.18,0.9955,50.95
28-Feb-18,0.7792,0.6374,0.5605,83.52,4.9312,844.07,0.9952,50.72
01-Mar-18,0.7731,0.634,0.5623,82.58,4.9019,837.34,0.9928,50.37
02-Mar-18,0.7756,0.6315,0.5627,82.28,4.9279,838.93,0.9952,50.54
05-Mar-18,0.7752,0.6291,0.562,81.78,4.909,838.62,0.9999,50.41
06-Mar-18,0.7773,0.6295,0.5617,82.62,4.9284,836.28,1.0089,50.52
07-Mar-18,0.7804,0.6286,0.5617,82.48,4.9377,834.33,1.0089,50.7
08-Mar-18,0.783,0.6311,0.5631,83.04,4.9531,836.56,1.009,50.88
09-Mar-18,0.7792,0.6328,0.5646,83.09,4.9431,832.15,1.0049,50.72
12-Mar-18,0.7869,0.6385,0.5677,83.73,4.9815,837.1,1.0077,51.14
13-Mar-18,0.787,0.6384,0.5666,84.04,4.9786,838.49,1.0111,51.12
14-Mar-18,0.7871,0.6343,0.5627,83.84,4.9717,838.24,1.019,51.15
15-Mar-18,0.7876,0.6361,0.5632,83.46,4.9716,838.76,1.0199,51.13
16-Mar-18,0.779,0.6328,0.5592,82.49,4.9297,832.4,1.0175,50.56
19-Mar-18,0.7691,0.627,0.5527,81.3,4.8692,824.28,1.009,50.01
20-Mar-18,0.7703,0.6243,0.5492,81.9,4.8738,824.38,1.0078,50.25
21-Mar-18,0.7697,0.6278,0.5492,81.96,4.874,824.77,1.0019,50.2
22-Mar-18,0.7744,0.6265,0.547,81.91,4.8941,830.31,0.9986,50.42
23-Mar-18,0.7711,0.6252,0.5463,80.82,4.883,833.83,0.9958,50.24
26-Mar-18,0.7723,0.6241,0.5454,81,4.8755,835.62,0.9939,50.13
27-Mar-18,0.7738,0.6215,0.5437,81.74,4.8448,828.28,0.993,50.12
28-Mar-18,0.7694,0.62,0.5422,81.23,4.8316,820.49,0.9909,50.02
29-Mar-18,0.7665,0.6217,0.5444,81.61,4.8246,817.31,0.9901,49.96
03-Apr-18,0.7685,0.6244,0.5466,81.46,4.8321,812.07,0.9905,49.99
04-Apr-18,0.77,0.6271,0.5469,82.04,4.8478,815.89,0.9844,50.04
05-Apr-18,0.769,0.6264,0.5467,82.21,4.8472,814.76,0.9824,50.03
06-Apr-18,0.7677,0.6274,0.5486,82.37,4.839,820.02,0.9805,49.91
09-Apr-18,0.7691,0.6262,0.5456,82.28,4.8435,820.9,0.9824,49.93
10-Apr-18,0.7733,0.6283,0.5471,82.86,4.8719,824.9,0.9817,50.2
11-Apr-18,0.7749,0.6267,0.5462,82.97,4.8665,826.83,0.9766,50.43
12-Apr-18,0.7751,0.6273,0.5466,82.88,4.8651,828.97,0.9759,50.64
13-Apr-18,0.778,0.6311,0.5467,83.61,4.8925,832.72,0.9791,50.75
16-Apr-18,0.7769,0.6301,0.5453,83.29,4.882,834.51,0.9802,50.83
17-Apr-18,0.7771,0.6273,0.5419,83.16,4.8809,829.9,0.9771,51.01
18-Apr-18,0.7771,0.628,0.5432,83.41,4.8862,829.94,0.9767,51.03
19-Apr-18,0.7804,0.6306,0.5494,83.83,4.8914,828.12,0.9853,51.34
20-Apr-18,0.7714,0.625,0.5483,83.03,4.8471,822.43,0.9771,50.91
23-Apr-18,0.7673,0.6253,0.5473,82.71,4.8296,820.17,0.9788,50.8
