"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 12","4.9","4.9","5.4","4.6","-","0.00%"
"Apr 12","4.9","4.8","5.3","4.7","-","0.00%"
"May 12","5.2","5.0","5.2","4.8","-","4.65%"
"Jun 12","6.7","5.3","6.7","5.2","-","29.15%"
"Jul 12","9.4","6.6","9.4","6.4","-","39.76%"
"Aug 12","10.2","9.6","13.5","8.0","-","8.66%"
"Sep 12","12.4","10.0","12.6","10.0","-","22.05%"
"Oct 12","11.2","12.4","12.9","10.2","-","-9.68%"
"Nov 12","12.6","10.6","12.6","10.5","-","12.14%"
"Dec 12","13.5","12.6","13.7","12.5","-","7.56%"
"Jan 13","20.4","13.3","20.4","13.3","-","51.07%"
"Feb 13","33.4","20.5","33.4","19.6","-","63.55%"
"Mar 13","93.0","34.5","93.0","34.3","-","178.70%"
"Apr 13","139.2","104.0","230.0","68.4","-","49.66%"
"May 13","128.8","116.4","133.5","98.1","-","-7.48%"
"Jun 13","97.5","129.3","129.3","94.7","-","-24.31%"
"Jul 13","97.9","84.6","97.9","66.3","-","0.41%"
"Aug 13","129.5","96.4","129.5","93.3","-","32.22%"
"Sep 13","123.1","128.3","128.3","116.3","-","-4.91%"
"Oct 13","198.2","125.5","200.6","99.8","-","61.03%"
"Nov 13","1,112.4","198.5","1,124.4","198.5","2.43K","461.14%"
"Dec 13","727.7","998.1","1,200.0","408.7","5.65K","-34.58%"
"Jan 14","800.0","740.0","950.0","731.0","5.05K","9.93%"
"Feb 14","565.0","801.9","814.6","425.0","5.40K","-29.38%"
"Mar 14","452.0","565.0","685.0","440.4","9.48K","-20.00%"
"Apr 14","448.3","460.3","522.8","325.0","14.79K","-0.83%"
"May 14","635.6","450.8","635.6","419.8","27.49K","41.79%"
"Jun 14","640.0","638.0","693.9","545.3","33.23K","0.69%"
"Jul 14","579.0","650.0","662.0","550.0","35.96K","-9.53%"
"Aug 14","594.9","578.0","606.1","578.0","2.06K","2.74%"
"Sep 14","387.1","487.4","494.3","367.3","45.40K","-34.93%"
"Oct 14","337.0","387.0","405.8","285.1","79.45K","-12.95%"
"Nov 14","376.7","337.7","445.0","321.0","45.39K","11.79%"
"Dec 14","317.0","376.7","383.1","303.6","47.44K","-15.85%"
"Jan 15","217.4","317.5","317.5","164.9","89.12K","-31.42%"
"Feb 15","255.7","221.4","268.3","217.8","749.17K","17.61%"
"Mar 15","244.3","255.7","248.8","242.0","1.24M","-4.45%"
"Apr 15","236.1","244.5","240.2","214.0","733.27K","-3.36%"
"May 15","228.7","236.1","243.0","227.1","476.35K","-3.14%"
"Jun 15","262.9","228.7","268.9","219.8","591.71K","14.95%"
"Jul 15","284.5","262.9","316.0","252.1","753.53K","8.20%"
"Aug 15","231.4","284.5","287.0","171.0","706.78K","-18.67%"
"Sep 15","236.5","231.4","247.7","224.5","294.47K","2.22%"
"Oct 15","316.0","236.5","336.0","236.2","571.39K","33.62%"
"Nov 15","376.9","316.0","503.4","300.8","1.64M","19.27%"
"Dec 15","429.0","376.9","475.0","346.2","1.15M","13.83%"
"Jan 16","365.5","429.0","465.0","353.2","893.30K","-14.81%"
"Feb 16","439.2","365.5","451.2","363.3","643.44K","20.15%"
"Mar 16","416.0","439.2","442.8","389.7","416.35K","-5.27%"
"Apr 16","446.6","416.0","472.0","412.0","366.05K","7.35%"
"May 16","530.7","446.6","567.0","433.0","604.03K","18.83%"
"Jun 16","674.7","530.7","789.7","530.7","1.68M","27.14%"
"Jul 16","623.7","674.7","707.0","610.1","657.72K","-7.57%"
"Aug 16","604.1","604.1","604.1","604.1","-","-3.14%"
"Sep 16","611.1","576.2","636.2","570.6","129.69K","1.16%"
"Oct 16","704.1","611.1","724.0","607.0","197.71K","15.22%"
"Nov 16","708.1","704.1","753.7","676.0","136.63K","0.57%"
"Dec 16","966.6","739.0","983.0","738.8","288.28K","36.50%"
"Jan 17","966.2","966.6","1,166.0","738.7","699.43K","-0.04%"
"Feb 17","1,189.1","966.2","1,222.2","936.4","477.67K","23.07%"
"Mar 17","1,081.7","1,189.1","1,328.8","891.0","1.04M","-9.03%"
"Apr 17","1,435.2","1,081.3","1,449.7","1,070.2","422.01K","32.68%"
"May 17","2,191.8","1,435.0","2,689.0","1,432.0","744.19K","52.72%"
"Jun 17","2,420.7","2,191.8","3,000.0","2,050.0","649.18K","10.44%"
"Jul 17","2,856.0","2,420.6","2,919.9","1,835.8","942.61K","17.98%"
"Aug 17","4,718.2","2,854.3","4,749.9","2,615.8","951.95K","65.20%"
"Sep 17","4,367.0","4,718.3","4,969.0","2,981.0","1.50M","-7.44%"
"Oct 17","6,458.3","4,366.6","6,472.1","4,134.9","1.36M","47.89%"
"Nov 17","9,907.0","6,450.2","11,427.2","5,426.0","2.12M","53.40%"
"Dec 17","13,800.0","9,907.0","19,891.0","9,370.1","2.26M","39.30%"
"Jan 18","10,284.0","13,794.0","17,252.0","9,231.1","1.62M","-25.48%"
"Feb 18","10,315.0","10,278.0","11,776.0","6,000.0","1.93M","0.30%"
"Mar 18","6,925.3","10,316.0","11,696.0","6,533.0","1.78M","-32.86%"
"Apr 18","9,240.0","6,925.4","9,761.5","6,432.4","1.28M","33.42%"
