Time,Net Savings,Total Use of Gross Income,GDP
Sep-59,589,3493,3961
Dec-59,698,3905,4070
Mar-60,225,3310,4209
Jun-60,74,3454,4324
Sep-60,492,3669,4406
Dec-60,746,4209,4423
Mar-61,370,3628,4387
Jun-61,53,3567,4341
Sep-61,550,3775,4327
Dec-61,790,4294,4379
Mar-62,268,3657,4474
Jun-62,59,3743,4570
Sep-62,559,3965,4676
Dec-62,870,4610,4769
Mar-63,289,3898,4863
Jun-63,71,3988,4974
Sep-63,652,4367,5096
Dec-63,1013,5097,5230
Mar-64,387,4316,5352
Jun-64,55,4389,5466
Sep-64,745,4814,5602
Dec-64,888,5425,5739
Mar-65,416,4773,5852
Jun-65,-47,4727,5938
Sep-65,738,5122,5988
Dec-65,895,5717,6028
Mar-66,370,4966,6112
Jun-66,-22,5020,6269
Sep-66,918,5597,6491
Dec-66,1081,6292,6716
Mar-67,641,5665,6882
Jun-67,70,5573,6998
Sep-67,788,5935,7097
Dec-67,1059,6747,7206
Mar-68,356,5914,7339
Jun-68,27,6029,7534
Sep-68,995,6503,7792
Dec-68,1340,7495,8062
Mar-69,593,6634,8315
Jun-69,108,6680,8559
Sep-69,1113,7379,8803
Dec-69,1285,8281,9075
Mar-70,576,7402,9333
Jun-70,214,7686,9546
Sep-70,1114,8070,9734
Dec-70,1293,8909,9928
Mar-71,815,8265,10206
Jun-71,574,8677,10528
Sep-71,1283,9001,10769
Dec-71,1536,10109,10960
Mar-72,846,9176,11168
Jun-72,586,9651,11413
Sep-72,1551,10074,11729
Dec-72,2076,11448,12119
Mar-73,1085,10300,12631
Jun-73,831,11129,13310
Sep-73,2067,12066,14093
Dec-73,2579,14051,14808
Mar-74,1604,12982,15393
Jun-74,1198,13946,15992
Sep-74,2129,14859,16688
Dec-74,3372,17583,17449
Mar-75,2034,15848,18119
Jun-75,1185,16603,18724
Sep-75,2669,17282,19446
Dec-75,4159,20566,20319
Mar-76,1872,18224,21253
Jun-76,505,19068,22185
Sep-76,3510,20862,22982
Dec-76,3642,23162,23696
Mar-77,2066,21172,24364
Jun-77,592,21940,24923
Sep-77,3321,23554,25380
Dec-77,3506,25249,25858
Mar-78,2492,23466,26506
Jun-78,890,24148,27305
Sep-78,3390,25466,28223
Dec-78,4253,28031,29187
Mar-79,3476,26886,30138
Jun-79,1486,27177,31085
Sep-79,3892,28662,32089
Dec-79,5128,31998,33115
Mar-80,2864,29575,34095
Jun-80,1478,30498,35083
Sep-80,4505,32563,36212
Dec-80,6558,37335,37406
Mar-81,2231,32621,38703
Jun-81,1755,35207,40197
Sep-81,4533,37649,41764
Dec-81,7431,43045,43272
Mar-82,2265,37908,44535
Jun-82,2161,41386,45634
Sep-82,4148,42620,46557
Dec-82,7008,48036,47059
Mar-83,2057,41832,47616
Jun-83,1790,44185,48737
Sep-83,4696,45611,50491
Dec-83,7503,51755,52561
Mar-84,4233,47725,54334
Jun-84,2945,49990,55508
Sep-84,5153,50520,56446
Dec-84,9092,57062,57655
Mar-85,4837,51341,59483
Jun-85,2584,54355,61518
Sep-85,4280,55407,63240
Dec-85,7711,62698,64543
Mar-86,4828,57960,65644
Jun-86,2318,60862,66869
Sep-86,3827,61896,68343
Dec-86,6732,68444,70185
Mar-87,3582,63652,72393
Jun-87,1703,66976,74771
Sep-87,4344,68194,77270
Dec-87,5730,74202,79787
Mar-88,3324,69830,82255
Jun-88,1816,72453,84836
Sep-88,4276,74998,87495
Dec-88,7725,82555,90384
Mar-89,5027,78857,93419
Jun-89,2242,82765,96184
Sep-89,4288,85117,98475
Dec-89,8606,92992,100472
Mar-90,6252,88202,102099
Jun-90,2456,91021,103411
Sep-90,5674,91342,104019
Dec-90,8062,96833,103906
Mar-91,4847,89462,103546
Jun-91,2018,91054,103467
Sep-91,5020,90900,104019
Dec-91,5320,95692,105168
Mar-92,4942,91677,106184
Jun-92,1124,91570,107123
Sep-92,5884,93532,108371
Dec-92,4070,96719,110125
Mar-93,5752,94619,111759
Jun-93,1391,94626,112814
Sep-93,5045,96235,113822
Dec-93,3411,100625,115289
Mar-94,5312,98275,117568
Jun-94,3300,101131,119876
Sep-94,5510,102790,121576
Dec-94,4150,107766,122844
Mar-95,5128,106028,124157
Jun-95,313,107093,126090
Sep-95,5510,110216,128579
Dec-95,5212,117273,130949
Mar-96,5320,112756,132980
Jun-96,853,113630,134580
Sep-96,6947,116900,135892
Dec-96,8113,125359,137466
Mar-97,5481,117498,139358
Jun-97,1617,120328,141715
Sep-97,6996,122628,144240
Dec-97,4976,129254,146471
Mar-98,3085,122492,148209
Jun-98,-1596,124565,150020
Sep-98,4948,130275,152143
Dec-98,459,133332,154386
Mar-99,902,128905,156179
Jun-99,-1208,133049,157756
Sep-99,4161,136838,160191
Dec-99,559,142116,163530
Mar-00,3935,139655,167399
Jun-00,-5708,142293,170532
Sep-00,6304,147710,172850
Dec-00,-1107,151917,174815
Mar-01,2370,149798,177259
Jun-01,1041,149872,180136
Sep-01,6244,155463,183362
Dec-01,6121,164772,186624
Mar-02,5586,158704,190193
Jun-02,-2906,161805,193604
Sep-02,1443,165430,196774
Dec-02,-4680,169590,199328
Mar-03,113,166639,201646
Jun-03,-1506,167707,204525
Sep-03,1813,175080,208535
Dec-03,-2385,183921,213277
Mar-04,-271,181853,217626
Jun-04,495,186565,221178
Sep-04,3900,193248,224527
Dec-04,-1158,200251,228182
Mar-05,3021,196661,232512
Jun-05,258,199764,237636
Sep-05,6927,208467,242933
Dec-05,-994,212550,247354
Mar-06,868,209460,251189
Jun-06,-4984,209901,255759
Sep-06,8146,224634,261987
Dec-06,-1394,229512,268974
Mar-07,2720,229344,275130
Jun-07,-4302,236285,280080
Sep-07,10961,247584,284772
Dec-07,2362,255862,290171
Mar-08,6282,253539,297688
Jun-08,-2338,258882,306258
Sep-08,19406,267778,313385
Dec-08,19261,280068,316411
Mar-09,17432,266767,315300
Jun-09,11132,274175,313525
Sep-09,21949,275290,314451
Dec-09,10115,281042,319726
Mar-10,15565,279128,328383
Jun-10,5909,284655,337341
Sep-10,24362,296806,344583
Dec-10,15638,308056,350663
Mar-11,21817,305863,357559
Jun-11,8816,305615,365114
Sep-11,31386,322863,370393
Dec-11,18810,325496,373319
Mar-12,19109,319554,375437
Jun-12,9941,323556,377876
Sep-12,25896,330112,380219
Dec-12,14738,333946,382308
Mar-13,20185,329361,385157
Jun-13,8209,329757,389360
Sep-13,29488,342933,394370
Dec-13,16722,349033,399149
Mar-14,20299,342991,402258
Jun-14,9833,345353,403217
Sep-14,34025,360967,403823
Dec-14,17899,364264,405177
Mar-15,20253,356808,407294
Jun-15,8099,358180,409163
Sep-15,33445,373181,410745
Dec-15,10099,370803,412888
Mar-16,16337,365212,415634
Jun-16,2787,366224,420248
Sep-16,30274,380300,428729
Dec-16,8704,379982,438403
Mar-17,16056,377048,446068
Jun-17,-196,375693,449993
Sep-17,28103,392797,452827
Dec-17,6703,394882,458126
Mar-18,14893,391699,465263
Jun-18,-2943,391879,471882
Sep-18,27620,408734,477831
Dec-18,5615,410533,484077
Mar-19,15900,406610,491961
Jun-19,-5466,403575,
Sep-19,36287,423530,
Dec-19,9289,423490,
Mar-20,26916,422867,
Jun-20,52864,423192,
Sep-20,77169,449778,
Dec-20,33441,439923,
Mar-21,37720,431674,
