year,AU_gdp,AU_gdp_growth,AU_goods_export,AU_inflation,AU_net_income,AU_population,CA_gdp,CA_gdp_growth,CA_goods_export,CA_inflation,CA_net_income,CA_population,CN_gdp,CN_gdp_growth,CN_goods_export,CN_inflation,CN_net_income,CN_population,GB_gdp,GB_gdp_growth,GB_goods_export,GB_inflation,GB_net_income,GB_population,IN_gdp,IN_gdp_growth,IN_goods_export,IN_inflation,IN_net_income,IN_population,JP_gdp,JP_gdp_growth,JP_goods_export,JP_inflation,JP_net_income,JP_population,KR_gdp,KR_gdp_growth,KR_goods_export,KR_inflation,KR_net_income,KR_population,US_gdp,US_gdp_growth,US_goods_export,US_inflation,US_net_income,US_population
1995,367216364716.365,3.837755292963,53307054295.3491,4.62776659959758,-13609978311.3446,18072000.0,604011634216.163,,192930925885.201,2.14876033057852,-23234979189.4572,29302311.0,734547898224.101,10.9539543428699,128109690000.0,16.7912251650917,-11773840000.0,1204855000.0,1341681825495.66,2.53167007680905,242317882188.595,2.69749518304432,3393032576.78999,58019030.0,360281952716.797,7.57449184032379,31238525605.8308,10.2248861637545,-3733620330.63823,963922586.0,5449117511910.33,2.74214032190356,,-0.127899045020464,,125472000.0,566583427334.137,9.61456539319965,119577700000.0,4.48068699525355,-2122100000.0,45092991.0,7639749000000.0,2.68428712609014,575204000000.0,2.80541968853655,20899300000.0,266278000.0
1996,400302731411.229,3.87858529337824,60515586486.3013,2.61538461538462,-14266000007.7232,18311000.0,628536414441.434,,204868220739.759,1.57053112507137,-22004796194.9263,29610218.0,863746717507.397,9.92255675231162,151077000000.0,8.31316028893904,-12437000000.0,1217550000.0,1415482198602.78,2.49161085496354,261247038689.411,2.85178236397748,763295213.026908,58166950.0,392897054348.071,7.5495222488198,33737287502.5263,8.97715233826453,-3255604409.09212,982365248.0,4833714467769.62,3.09999929079811,395239572032.383,0.136600358575938,56691378321.9376,125757000.0,610169556840.077,7.89070332600667,124427400000.0,4.9248096866348,-2214800000.0,45524681.0,8073122000000.0,3.77250132054725,612113000000.0,2.9312041999344,22324800000.0,269394000.0
1997,434568007512.913,3.96653766174953,64969123660.5911,0.224887556221881,-13735156762.251,18517000.0,654987932556.605,,218461779155.957,1.62121638084528,-21580971963.3282,29905948.0,961603952954.233,9.23677989162672,82983000000.0,2.78646505531886,-11005000000.0,1230075000.0,1558110232723.26,4.97529500766043,281536902140.816,2.20114313510882,5374229169.93209,58316954.0,415867753863.874,4.0498208490926,35702052076.1125,7.16425211462719,-3518006703.79963,1000900028.0,4414734211850.09,1.0760452342591,403959291244.03,1.74780458692133,56839889709.7605,126057000.0,569754543829.957,6.17055242658977,132366700000.0,4.43906376109768,-3167400000.0,45953580.0,8577554457000.0,4.44721633992626,678366000000.0,2.33768993730741,12624800000.0,272657000.0
1998,398899138574.239,4.57668875918884,55848921246.0652,0.860134629768157,-11361801112.7188,18711000.0,633997734246.945,2.79654247993439,219948407476.112,0.995942456658074,-21414181781.9746,30155173.0,1029043097558.91,7.84595178761953,78985000000.0,-0.773186011549305,-16644000000.0,1241935000.0,1651553549139.29,3.70777104641044,271723174226.581,1.82056163731558,20435736181.7718,58487141.0,421351477504.743,6.18441582090618,34075707693.1442,13.2308389767978,-3636497421.78381,1019483586.0,4032509740336.4,-1.12840982877319,369623821298.411,0.661974191385916,50558736481.2995,126400000.0,383330931042.356,-5.12944816520964,127539000000.0,7.51334012248214,-5201000000.0,46286503.0,9062818202000.0,4.48140756104172,670416000000.0,1.55227909874362,4280100000.0,275854000.0
1999,388608221581.652,5.07359909510564,56029835314.3814,1.48312940304038,-11882790656.5142,18926000.0,678409995711.893,3.97048263689422,247714131434.279,1.73484295105918,-23450541069.425,30401286.0,1093997267277.1,7.66165150053656,83794000000.0,-1.40147268276465,-14470000000.0,1252735000.0,1682291861034.24,3.29520161975711,269805427789.263,1.7529508005142,-5566375838.07352,58682466.0,458820417337.807,8.84575556105509,36877276368.8489,4.66982038037591,-3709782917.20569,1038058154.0,4562078622080.57,-0.251954272065987,398925565406.232,-0.34129692832762,57100799582.207,126631000.0,497512659612.052,11.4669424267425,136030600000.0,0.812996589285747,-5536800000.0,46616677.0,9630664202000.0,4.75323598286796,698524000000.0,2.18802719697358,9969000000.0,279040000.0
2000,415222633925.768,3.93313694470206,64039984645.4577,4.45743514797225,-11130541067.9466,19153000.0,744625957328.853,4.91776274356224,288048191646.866,2.71943995691972,-23398390833.9519,30685730.0,1211346869600.41,8.49009340575191,111331687000.0,0.347811226864599,-14666461000.0,1262645000.0,1658116015669.82,3.506217425817,283726504736.794,1.18295624210404,6293053445.10388,58892514.0,468394937262.37,3.84099115681285,43246625499.6013,4.0094359104519,-4892212950.86802,1056575548.0,4887519736333.69,2.77963282512113,454300757252.703,-0.676578683595063,71430006679.7052,126843000.0,576178114168.494,9.06083332508534,169523600000.0,2.25918477850415,-4151700000.0,47008111.0,10252345464000.0,4.12748401690885,784939000000.0,3.37685727149935,14626000000.0,282162411.0
2001,378376086723.194,1.93085759225417,63666859385.98,4.4071353620147,-10336522544.7177,19413000.0,738962729044.525,1.40552758872816,270783696904.89,2.52512013979907,-26460345557.0265,31020902.0,1339395718862.89,8.3357334781433,118463000000.0,0.719125609120107,-19175000000.0,1271850000.0,1638763127019.89,2.73033565127537,275116771364.013,1.53234960272418,11839894932.5572,59119673.0,485441014538.638,4.82396626390641,44793193848.5628,3.77929312235641,-4141838242.95872,1075000094.0,4303542577787.9,0.406335903187042,379094247965.074,-0.740055504162808,67643699062.4724,127149000.0,547658231279.87,4.85239957151281,146419600000.0,4.06641964799839,-3713800000.0,47370164.0,10581821399000.0,0.998340791805987,731331000000.0,2.82617111885402,23246000000.0,284968955.0
2002,394648911678.527,4.0014040616517,65090759266.5292,2.98157453936349,-11594742935.3047,19651400.0,760144201653.552,3.42214617132493,262513104538.953,2.25839440940856,-20667500096.4738,31360079.0,1470550015077.93,9.13363078993316,145460205585.428,-0.731970902350276,-14945534754.3729,1280400000.0,1780020183147.07,2.17874436788954,281781566701.938,1.52040245947458,23204181456.9831,59370479.0,514937948870.08,3.8039753213758,51141118293.6083,4.2971520392956,-3909106938.85267,1093317187.0,4115115650037.87,0.117992776889338,390952973418.41,-0.923494026942291,62182866017.1118,127445000.0,627246081417.004,7.72514267547173,160956000000.0,2.76251135208606,-2407100000.0,47644736.0,10936419054000.0,1.74169525130476,698036000000.0,1.58603162650603,17505000000.0,287625193.0
2003,466488060570.763,2.98593432165801,70510644518.6849,2.73259596616783,-15098854113.9955,19895400.0,895595268613.726,3.81109015282463,283881204985.993,2.75856321360112,-23416619769.2742,31644028.0,1660287965663.89,10.038030481108,388297641441.493,1.12760348729636,-10218488499.0169,1288400000.0,2051011269893.75,3.32188172525618,308193254587.196,1.3765003854201,25985856460.8097,59647577.0,607699285433.872,7.86038147553259,60893318399.369,3.80585899528851,-4894896784.91885,1111523146.0,4445659445309.56,1.52822014817859,443877324403.479,-0.256541816316074,74405325066.1616,127718000.0,702717332012.991,3.14729119373409,194911800000.0,3.51487924186862,-2819800000.0,47892330.0,11458243878000.0,2.8612107683238,730445000000.0,2.27009497336113,29254000000.0,290107933.0
2004,612490396927.017,4.05545196750958,87128030618.7002,2.34325522482587,-22013826113.977,20127400.0,1026468064354.66,3.91402878219242,328561164731.484,1.85725871857261,-21110082468.7617,31940655.0,1955347004965.69,10.1136213780461,525615268320.748,3.82463743108159,-5131610464.6017,1296075000.0,2412133362627.71,2.28627817511111,351124958043.997,1.39039756680426,25250480068.3575,59987905.0,709148514804.659,7.92293661286503,77921854645.6255,3.76725173477513,-4052167100.76616,1129623466.0,4815168028753.16,2.20468788221162,533531430593.299,-0.00857338820299998,95638600689.667,127761000.0,793175007858.066,5.19739136324382,256053700000.0,3.59059139085802,-1794400000.0,48082519.0,12213729147000.0,3.79889112471299,823584000000.0,2.67723669309173,46580000000.0,292805298.0
