,PropertyID,Type,State,Price,Features,Bathrooms,Bedrooms,Carspaces,Area,Suburb,Postcode,Latitude,Longitude
0,2016723553,Sale,QLD,349000,"['SwimmingPool', 'Furnished', 'Gym']",1.0,1.0,1,City & North,BRISBANE CITY,4000,-27.46224,153.0309
1,2016727278,Sale,QLD,140000,"['CableOrSatellite', 'SwimmingPool', 'Furnished', 'Study']",1.0,na,na,City & North,BRISBANE CITY,4000,-27.4732361,153.02713
2,2016806859,Sale,QLD,559000,"['AirConditioning', 'BuiltInWardrobes', 'CableOrSatellite', 'Ensuite', 'Gas', 'InternalLaundry', 'PetsAllowed', 'SecureParking', 'SwimmingPool', 'Furnished', 'NorthFacing', 'CityViews', 'Gym', 'Intercom', 'BroadbandInternetAccess', 'Bath', 'Dishwasher', 'OutdoorSpa', 'BalconyDeck']",2.0,2.0,1,City & North,BRISBANE CITY,4000,-27.4705048,153.029892
3,2016834181,Sale,QLD,329000,"['AirConditioning', 'BuiltInWardrobes', 'SecureParking', 'SwimmingPool', 'Furnished', 'WaterViews', 'CityViews', 'Gym', 'Bath', 'Dishwasher', 'OutdoorSpa', 'BalconyDeck']",1.0,1.0,1,City & North,BRISBANE CITY,4000,-27.46224,153.0309
4,2016837531,Sale,QLD,384000,"['AirConditioning', 'BuiltInWardrobes', 'Gas', 'InternalLaundry', 'PetsAllowed', 'SecureParking', 'SwimmingPool', 'WaterViews', 'NorthFacing', 'CityViews', 'Gym', 'BroadbandInternetAccess', 'Bath', 'Dishwasher', 'Study', 'BalconyDeck']",1.0,1.0,1,City & North,BRISBANE CITY,4000,-27.472084,153.0285
5,2016841558,Sale,QLD,559000,"['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'InternalLaundry', 'PetsAllowed', 'SecureParking', 'SwimmingPool', 'NorthFacing', 'CityViews', 'Gym', 'Intercom', 'BroadbandInternetAccess', 'Bath', 'Dishwasher', 'OutdoorSpa', 'BalconyDeck']",2.0,2.0,1,City & North,BRISBANE CITY,4000,-27.4705048,153.029892
6,2016439692,Sale,QLD,545000,"['AirConditioning', 'BuiltInWardrobes', 'SecureParking', 'SwimmingPool', 'Furnished', 'CityViews', 'Gym', 'Heating', 'Dishwasher']",2.0,2.0,1,City & North,BRISBANE CITY,4000,-27.46224,153.0309
7,2016842838,Sale,QLD,350000,"['AirConditioning', 'Gas', 'SwimmingPool', 'Furnished', 'Gym', 'Dishwasher']",1.0,1.0,na,City & North,BRISBANE CITY,4000,-27.4623528,153.032562
8,2016847935,Sale,QLD,470000,"['AirConditioning', 'BuiltInWardrobes', 'SwimmingPool', 'Furnished', 'WaterViews', 'CityViews', 'Gym', 'Heating', 'Dishwasher', 'BalconyDeck']",1.0,2.0,na,City & North,BRISBANE CITY,4000,-27.4719563,153.028915
9,2016855149,Sale,QLD,1750000,"['AirConditioning', 'SwimmingPool', 'DoubleGlazedWindows']",2.0,3.0,2,City & North,BRISBANE CITY,4000,-27.4626713,153.0323
10,2016903106,Sale,QLD,965000,"['AirConditioning', 'BuiltInWardrobes', 'CableOrSatellite', 'Gas', 'SecureParking', 'SwimmingPool', 'Gym', 'AlarmSystem', 'Bath', 'Study']",2.0,2.0,1,City & North,BRISBANE CITY,4000,-27.472681,153.028214
11,2016903726,Sale,QLD,439000,"['AirConditioning', 'Gas']",1.0,1.0,1,City & North,BRISBANE CITY,4000,-27.464283,153.01825
